id,title,company,salary,meta,url,description
844153,Algorithmic Trading Support Engineer,algoseek,,Тільки віддалено · Весь світ · 3 роки досвіду · Англійська - C2 · Fintech,https://djinni.co/jobs/844153-algorithmic-trading-support-engineer/,"Overview: Algoseek is seeking a proactive, technically adept Algorithmic Support Engineer to provide first-line support to our institutional clients for our intraday market data feeds for quantitative and algorithmic trading data systems. This role bridges finance, market data and technology — requiring both hands-on technical troubleshooting and a deep understanding of trading concepts, market data, and systematic strategies. This position serves as an entry point into Algoseek, offering strong..."
844125,ServiceNow Discovery Engineer ID80139,AgileEngine,,Тільки віддалено · Країни Європи та Україна · 4 роки досвіду · Англійська - B2,https://djinni.co/jobs/844125-servicenow-discovery-engineer-id80139/,"Important: after confirming your application on this platform, you’ll receive an email with the next step: completing your application on our internal site, LaunchPod. So keep an eye on your inbox and don’t miss this step — without it, the process can’t move forward. Why join us If you're looking for a place to grow, make an impact, and work with people who care, we'd love to meet you! :) About the role We are looking for a ServiceNow Discovery Engineer to join an enterprise-scale Discovery Engineering..."
832444,Team Leader (Python),RedCore,,Тільки віддалено · Країни ЄС · 6 років досвіду · Англійська - B2,https://djinni.co/jobs/832444-team-leader-python/,"RedCore is an international business group that creates technological solutions for digital markets. Our products and services cover fintech, marketing, e-commerce, customer service, communications, and regulatory technologies. We are looking for a Team Leader (Python)! Requirements: - Bachelor's or Master's degree in Computer Science, Software Engineering, or a related field; - 5+ years of experience in software engineering; - 2+ years of team management experience; - Strong proficiency in Python,..."
838109,Senior AI Builder (Python),YozmaTech,,Тільки віддалено · Країни Європи та Україна · 5 років досвіду · Англійська - B2 · Fintech,https://djinni.co/jobs/838109-senior-ai-builder-python/,"YozmaTech isn’t just another tech company – we’re a global team of go-getters, innovators, and A-players helping startups and product companies scale smarter and faster. We build dedicated development teams across 10+ countries, creating strong, long-term partnerships based on trust, transparency, and real impact. Here, every idea counts. We value people who are proactive, open-minded, and ready to grow. If you’re passionate about building meaningful products and want to join a team that feels like family..."
844024,Trainee Software Engineer with Python,Unidatalab,,Тільки віддалено · Україна · Англійська - B2,https://djinni.co/jobs/844024-trainee-software-engineer-with-python/,"Unidatalab is looking for motivated and ambitious students or recent graduates who are eager to take their first step into the world of AI-driven technologies. About the Client: Our client develops an AI-powered voice solution for quick-service restaurants. The product combines NLP, speech recognition, and noise-cancellation technologies to automate drive-thru ordering. As a result, restaurants can significantly reduce wait times, improve order accuracy, increase operational efficiency, and enhance..."
843950,Python Engineer,VetPromo,,Тільки віддалено · Весь світ · 2 роки досвіду · Англійська - Немає · Fintech,https://djinni.co/jobs/843950-python-engineer/,"We’re hiring a skilled Python developer with strong FastAPI experience to help design and deliver high-quality APIs. You’ll work with modern async patterns, Pydantic models, and production-grade services. Experience with SQLAlchemy or async database drivers, Redis, background task queues, or containerized deployments is highly valued. We are a focused team that prioritizes clean code, reliable systems, and meaningful ownership. You’ll contribute directly to core features in a collaborative,..."
843910,AI Infrastructure Engineer,Codebridge,,Тільки віддалено · Україна · 5 років досвіду · Англійська - B2,https://djinni.co/jobs/843910-ai-infrastructure-engineer/,"We are seeking an AI Infrastructure Engineer to join our client's team, working on a backend platform within the UK insurtech space. Responsibilities: Design and take ownership of the platform runtime, including how agents are compiled, configured, and deployed at scale Build the configuration layer enabling carriers to control and iterate on product journeys without requiring code changes Own the data model underlying the platform's systems and tooling, ensuring the ability to rapidly meet evolving..."
843875,Senior Backend Engineer (Python) / LUN App,ЛУН,,Тільки віддалено · Весь світ · 7 років досвіду · Англійська - Немає · PropTech / Real Estate,https://djinni.co/jobs/843875-senior-backend-engineer-python-lun-app/,"Шукаємо досвідченого Python Backend Engineer, який візьме повністю всю відповідальність за бекенд напрямок в продукті: від того, як віддаються дані, до того, наскільки швидко це відбувається. Команда Над мобільним застосунком ЛУН працює окрема продуктова команда: мобільні інженери (iOS, Android), продуктова дизайнерка, Product Manager і Engineering Manager. Ми щойно завершили великий рефакторинг і зараз входимо у фазу активного розвитку продукту: багато нових фіч, багато експериментів, велика аудиторія,..."
843846,AI Engineer (SEO Affiliate Automation),Kraken Leads,,Тільки віддалено · Країни Європи та Україна · 2 роки досвіду · Англійська - B1 · Gambling,https://djinni.co/jobs/843846-ai-engineer-seo-affiliate-automation/,"Kraken Leads — динамічна компанія з українським корінням, що вже більш ніж 6 років займається просуванням iGaming продуктів, зосереджуючись на наданні комплексних SEO-рішень. Шукаємо AI Engineer, який допоможе автоматизувати SEO та affiliate-процеси, створювати AI-рішення для масштабування бізнесу й швидко запускати нові внутрішні інструменти через прототипування та послідовні ітерації. Наші очікування: Практичний досвід із AI/LLM та інтеграцією API. Впевнене володіння Python. Практичний досвід із..."
839825,Lead Python Engineer,N-iX,,"Тільки віддалено · Польща, Україна · 5 років досвіду · Англійська - B2 · Fintech",https://djinni.co/jobs/839825-lead-python-engineer/,"Our customer is reinventing credit to make it more honest and customer-friendly, giving consumers the flexibility to buy now and pay later without any hidden fees or compounding interest. As a Lead Python Engineer, you will be part of a team that develops solutions responsible for managing critical services essential to the success and sustainability of the organization. In simple terms, the team builds and supports the systems that deliver transactional communications to customers via email, SMS, and..."
764691,Junior Python Software Engineer,Keymakr,до $700,Тільки віддалено · Країни Європи та Україна · 2 роки досвіду · Англійська - B2 · Machine Learning / Big Data,https://djinni.co/jobs/764691-junior-python-software-engineer/,"Keymakr is a leading provider of high-quality data annotation services for machine learning and artificial intelligence applications. We specialize in delivering accurate and scalable annotation solutions that empower businesses to develop cutting-edge AI models. Our team is dedicated to excellence, innovation, and customer satisfaction. We are looking for a motivated Junior Python Software Engineer to help build, maintain, and improve internal tools and services. This role offers a great opportunity to..."
843671,Senior Python Full Stack (with React),Luxoft,,Тільки віддалено · Україна · 5 років досвіду · Англійська - B2,https://djinni.co/jobs/843671-senior-python-full-stack-with-react/,"Join a team developing an enterprise-grade agentic AI platform that leverages AI agents, tools, skills, and orchestration capabilities to automate cybersecurity and business processes. The project involves building and enhancing modern GenAI solutions using technologies such as Python, Azure, RAG, MCP integrations, CI/CD, observability, and scalable cloud-native architectures. You will work on designing, developing, and industrializing advanced agent-based AI applications, contributing to new use cases,..."
843664,Senior Python Developer,Phenomenon Studio,,Тільки віддалено · Україна · 5 років досвіду · Англійська - B2 · SaaS,https://djinni.co/jobs/843664-senior-python-developer/,"Phenomenon Studio is a boutique product design and development agency founded in 2019. We work with teams who’ve outgrown what they’ve built — from venture-backed startups to established market leaders — and own the work end to end: strategy, design, development, and post-launch. The team of 70+ senior specialists is based in Europe, with entities in the USA, Estonia, and Switzerland, serving SaaS, fintech, healthcare, and EdTech. Across 120+ launches, clients have raised $500M+. Phenomenon is..."
829310,Python Backend Developer,Antenor,,Тільки віддалено · Україна · 2 роки досвіду · Англійська - A1,https://djinni.co/jobs/829310-python-backend-developer/,"Ми шукаємо досвідченого Python Backend Developer, який приєднається до нашої команди для розвитку backend-архітектури мобільного продукту. Ваша робота буде зосереджена на забезпеченні стабільності системи, роботі з телематичними даними та інтеграції сучасних сервісів. Ваші основні задачі: Проєктування та підтримка високонавантаженої backend-архітектури мобільного додатка. Проєктування, розвиток та підтримка стабільного REST API. Інтеграція з GPS/телематичними сервісами, картами, платіжними системами та..."
843488,Senior Python Engineer with product experience (fintech/data),Smarter.global,,Тільки віддалено · Україна · 5 років досвіду · Англійська - B1 · Fintech,https://djinni.co/jobs/843488-senior-python-engineer-with-product-experienc/,"Pine Software Technology Ltd is a software company specializing in trading technology solutions for regulated brokers and trading firms. We build SaaS products that support electronic trading, brokerage operations, risk management, and financial data analysis. The back office is responsible for reconciling balances following traders' transactions and for reporting to clients and regulators. ‍ We are looking for a Senior Python Engineer who is collaborative, has a product mindset, and is reliable. ..."
843449,Python Developer (Django),Office.kh.ua,до $650,Тільки віддалено · Україна · 1 рік досвіду · Англійська - B2,https://djinni.co/jobs/843449-python-developer-django/,Шукаємо Python Developer для роботи над внутрішніми проєктами компанії. Обов’язкові знання та навички: — 1+ рік комерційного досвіду з Python 3 — комерційний досвід production-розробки з Django та REST API — практичний досвід роботи з PostgreSQL — розуміння OOP і принципів побудови backend-сервісів — практичний досвід з asyncio та multiprocessing — досвід інтеграцій зі сторонніми API — впевнене користування Git і Linux — досвід роботи з Docker / Docker Compose — базовий практичний досвід з AWS та...
838005,Lead AI Engineer (Python),Nova Digital,,Тільки віддалено · Весь світ · 5 років досвіду · Англійська - B1,https://djinni.co/jobs/838005-lead-ai-engineer-python/,"Nova Digital — це технологічне серце екосистеми NOVA, де твій код стає частиною щоденного життя цілої країни. Про масштаб наших сервісів: • 50+ млн запитів щодня проходять через наші системи • 10+ млн активних користувачів покладаються на наші рішення Ми будуємо не просто продукт — ми створюємо технологічну інфраструктуру, яка об’єднує людей, бізнеси та можливості вже майже по цілому світу. Ми шукаємо Python AI Lead (Комунікаційна платформа / LLM & Agents), який приєднається до нашої команди для розробки..."
843418,Python / AI Developer,Rich Media Systems,,Тільки віддалено · Країни Європи та Україна · 5 років досвіду · Англійська - Немає · E-commerce / Marketplace,https://djinni.co/jobs/843418-python-ai-developer/,"Шукаємо Python / AI Developer, який поєднує сильну backend-розробку з активним використанням AI-інструментів у щоденній роботі. Нам потрібен Developer, який вміє працювати з production-системами, розбиратися у великій кодовій базі, самостійно знаходити та реалізовувати технічні рішення й використовувати AI для підвищення швидкості та якості розробки. Що потрібно буде робити: розвивати та підтримувати бізнес-логіку ERP-системи та пов’язаних сервісів; розробляти новий функціонал на Python та інтеграції з..."
824065,Principal Backend Engineer (Python / AI),ChatRevenue.ai,,Тільки віддалено · Весь світ · 5 років досвіду · Англійська - B2 · SaaS,https://djinni.co/jobs/824065-principal-backend-engineer-python-ai/,"About ChatRevenue.ai ChatRevenue.ai was founded by Ratmir Timashev (founder of Veeam) and Vlad Voskresensky (founder of Revenue Grid) to create the next generation of CRM systems. We’re building an AI-native CRM platform that completely redefines how sales automation works. By structuring data for intelligent automation, we enable agentic AI to design workflows, assist Sales Leaders and Reps in real time, and generate predictable sales funnels – all through a simple, chat-driven interface. Our..."
